,NDia##length##millimeters,ORad##length##millimeters,CRad3##length##millimeters,CRad2##length##millimeters,CRad5##length##millimeters
1,10.0,17.2,26.0,12.5,34.5
2,15.0,21.3,28.0,17.5,42.5
3,20.0,26.9,29.0,25.0,57.5
4,25.0,33.7,38.0,25.0,72.5
5,32.0,42.4,48.0,32.0,92.5
6,40.0,48.3,57.0,38.0,107.5
7,50.0,60.3,76.0,51.0,135.0
8,65.0,76.1,95.0,63.0,175.0
9,80.0,88.9,114.0,76.0,205.0
10,100.0,114.3,152.0,102.0,270.0
11,125.0,139.7,190.0,127.0,330.0
12,150.0,168.3,229.0,152.0,390.0
13,200.0,219.1,305.0,203.0,510.0
14,250.0,273.1,381.0,254.0,650.0
15,300.0,323.0,457.0,305.0,775.0
16,350.0,355.0,533.0,356.0,850.0
17,400.0,406.0,610.0,406.0,970.0
18,450.0,457.0,686.0,457.0,1122.0
19,500.0,508.0,762.0,508.0,1245.0
20,600.0,610.0,914.0,610.0,1525.0
21,700.0,711.0,1067.0,711.0,1778.0
22,800.0,813.0,1219.0,813.0,2033.0
23,900.0,914.0,1372.0,914.0,2285.0
24,1000.0,1016.0,1524.0,1016.0,2540.0
25,1200.0,1220.0,1830.0,1220.0,3050.0
26,1400.0,1420.0,2130.0,1420.0,3550.0
27,1600.0,1620.0,2430.0,1620.0,4050.0
